SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC14205,55,867,356,0,710,0.9,725,1.8
SSC14206,40,0,624,0,1749,0.9,1749,3.6
SSC14207,36,2600,599,0,3249,0.8,1499,1.5
SSC14208,49,1668,749,0,1875,0.8,900,1.5
SSC14209,40,2817,686,325,1990,0.8,2013,3.3
SSC14210,54,2080,593,250,1292,0.8,949,2.1
SSC14211,38,1051,603,160,1444,0.8,1065,2.4
SSC14212,43,0,725,0,0,0,850,1.4
SSC14213,36,0,612,0,1625,0.7,1187,1.7
SSC14214,55,0,407,0,762,0.7,725,2
SSC14215,50,845,479,0,1125,0.6,830,2.1
SSC14216,27,0,392,80,612,0.8,492,2.6
SSC14217,48,0,380,0,724,1.2,724,2.5
SSC14218,54,0,525,0,1187,0.7,1156,2.8
SSC14219,42,1733,566,310,1309,0.7,1085,2.4
SSC14220,54,1200,472,90,1166,0.6,849,1.7
SSC14221,44,1000,458,180,1040,0.8,781,2.3
SSC14222,46,500,612,0,1374,0.9,1374,3
SSC14223,44,1246,431,300,1042,1.1,880,2.5
SSC14224,39,1733,1048,0,2200,1,2021,2.5
SSC14225,56,888,462,170,1033,0.8,792,2
SSC14226,50,1733,631,370,1570,0.7,1239,2.3
SSC14227,32,2100,1087,510,2113,1.3,1877,2.1
SSC14228,34,2000,660,410,1802,1.1,1693,3
SSC14229,58,1834,731,375,1916,0.5,1625,2
SSC14230,0,0,0,0,0,0,0,0
SSC14231,45,1809,849,0,2125,0.8,1937,2.8
SSC14232,39,2600,730,380,2052,0.8,2133,3.4
SSC14233,43,2001,702,365,1801,0.9,1593,2.7
SSC14234,0,0,0,0,0,0,0,0
SSC14235,33,1647,643,330,1420,0.9,1228,2.5
SSC14236,36,1907,749,390,1858,0.8,1799,2.9
SSC14237,34,1950,792,400,1992,0.8,1898,3
SSC14238,49,919,453,190,1104,0.7,786,2.1
SSC14239,47,1326,669,230,1545,0.7,1138,2.2
SSC14240,54,1512,495,320,1133,0.7,943,2.2
SSC14241,35,1354,613,275,1315,0.7,1061,2.4
SSC14242,43,1073,416,0,849,1.1,933,3.1
SSC14243,47,1733,393,318,899,0.7,756,2.4
SSC14244,49,1600,609,340,1342,0.8,951,1.9
SSC14245,66,1387,469,340,1004,0.6,781,1.9
SSC14246,32,2244,707,501,2111,0.9,2171,3.8
SSC14247,41,1140,460,230,978,0.8,761,2.3
SSC14248,33,1408,578,300,1288,0.8,1192,2.6
SSC14249,41,2750,875,590,2830,0.8,2675,3.2
SSC14250,40,3000,936,700,3273,0.8,2855,3.2
SSC14251,35,2100,742,410,1903,1.1,1677,2.6
SSC14252,36,1213,522,230,1068,0.8,861,2.3
SSC14253,37,1625,612,335,1431,0.8,1276,2.6
SSC14254,48,2080,575,170,1416,0.7,1199,2.3
SSC14255,34,1950,595,325,1758,0.9,1293,2.5
SSC14256,42,1082,602,170,1453,0.7,1148,2.3
SSC14257,41,1880,765,0,2250,0.8,2166,2.9
